time,high,low,open,volumefrom,volumeto,close
2017-06-19,3630.1,3470.33,3566.59,694.93,2446206.12,3551.61
2017-06-20,3752.19,3480.94,3551.61,801.43,2917089.97,3727.88
2017-06-21,3796.98,3613.74,3727.88,663.1,2452741.83,3683.61
2017-06-22,3722.14,3616.6,3683.61,611.08,2245344.68,3707.27
2017-06-23,3823.71,3668.61,3707.27,530.53,1976914.08,3698.65
2017-06-24,3776.25,3450.83,3698.65,612.27,2191271.56,3512.11
2017-06-25,3812.68,3192.99,3529.93,18633.59,63516747.21,3408.72
2017-06-26,3752.29,2528.29,3408.72,30053.46,99651548.89,3315.81
2017-06-27,3466.46,3147.96,3280.79,956.46,3113601.62,3466.46
2017-06-28,3503.88,2788.61,3404.83,13987.8,47215039.29,3375.44
2017-06-29,3491.53,3373.82,3430.1,478.36,1644643.57,3432.06
2017-06-30,3494.2,3301.01,3432.06,832.37,2793681.99,3332.58
2017-07-01,3451.17,3213.91,3332.58,449.66,1480004.59,3276.06
2017-07-02,3420.07,3160.59,3276.06,499.05,1634237.89,3405.1
2017-07-03,3455.62,3290.79,3405.1,630.69,2130622.81,3413.82
2017-07-04,3606.03,3376.73,3413.82,544.06,1876342.17,3432.99
2017-07-05,3478.9,3363.67,3432.99,532.58,1810776.38,3454.22
2017-07-06,3514.53,3375.39,3454.22,432.35,1472637.73,3401.05
2017-07-07,3437.63,3265.36,3401.05,797.49,2654424.39,3301.33
2017-07-08,3377.67,3253.46,3301.33,424.47,1403472.15,3371.85
2017-07-09,3403.44,3288.76,3371.85,413.62,1371428.74,3306.06
2017-07-10,3366.92,3071.96,3306.06,1166.48,3729065.28,3078.39
2017-07-11,3118.35,2989.05,3078.39,1349.46,4127632.26,3024.13
2017-07-12,3115.43,2958.83,3024.13,1075.5,3276285.69,3113.04
2017-07-13,3177.56,3032.64,3113.04,600.12,1848953.45,3050.14
2017-07-14,3150.42,2846.18,3050.14,748.01,2201660.13,2891.35
2017-07-15,2961.56,2580.05,2891.35,1003.35,2716393.4,2620.1
2017-07-16,2694.64,2356.62,2620.1,1115.87,2775258.53,2458.38
2017-07-17,3014.18,2411.1,2458.38,821.82,2242878.72,2960.94
2017-07-18,3227.22,2879.04,2960.94,1586.5,4796375.04,3086.04
2017-07-19,3749.51,2787.56,3023.75,29203.12,87419619.34,2993.5
2017-07-20,3745.78,3000.25,3021.26,2296.07,7678540.05,3638.4
2017-07-21,3652.44,3330.46,3638.4,993.43,3414034.77,3400.2
2017-07-22,3664.93,3397.22,3400.2,566.87,2021293.52,3636.88
2017-07-23,3643.09,3477.61,3636.88,551.98,1972120.67,3565.51
2017-07-24,3600.98,3492.45,3565.51,427.26,1502311.99,3507.2
2017-07-25,3547.75,3186.81,3507.2,1258.65,4183365.58,3287.78
2017-07-26,3486.32,3150.66,3287.78,1015.58,3295460.16,3281.9
2017-07-27,3493.94,3234.38,3281.9,578.5,1948432.21,3461.44
2017-07-28,3622.56,3391.8,3461.44,724.82,2559156.59,3560.17
2017-07-29,3575.74,3429.72,3560.17,586.95,2043399.05,3499.79
2017-07-30,3569.85,3407.38,3499.79,352.83,1229478.4,3541.25
2017-07-31,3836.0,3496.12,3541.25,940.79,3408196.32,3798.34
2017-08-01,3804.66,3470.49,3798.34,827.13,2983856.8,3565.58
2017-08-02,3618.39,3489.48,3565.58,574.39,2033904.46,3524.32
2017-08-03,3654.04,3517.74,3524.32,503.3,1795412.61,3608.44
2017-08-04,3760.11,3582.76,3608.44,512.42,1881766.88,3743.78
2017-08-05,4282.68,3743.78,3743.78,833.75,3389397.96,4167.34
2017-08-06,4271.84,4063.21,4167.34,360.76,1507605.11,4168.54
2017-08-07,4429.28,4129.35,4168.54,421.34,1819832.81,4357.02
2017-08-08,4505.94,4331.48,4357.02,434.43,1918969.89,4414.14
